sim_time, /gazebo/default/iris/gps0/link/gps?p=/altitude
533.34, 0.10454
533.54, 0.10454
533.74, 0.104541
533.94, 0.104541
534.14, 0.104542
534.34, 0.104542
534.54, 0.104542
534.74, 0.104543
534.94, 0.104543
535.14, 0.104544
535.34, 0.104544
535.54, 0.104544
535.74, 0.104545
535.94, 0.104545
536.14, 0.104546
536.34, 0.104546
536.54, 0.104546
536.74, 0.104547
536.94, 0.104547
537.14, 0.104548
537.34, 0.104548
537.54, 0.104548
537.74, 0.104549
537.94, 0.104549
538.14, 0.10455
538.34, 0.10455
538.54, 0.10455
538.74, 0.104551
538.94, 0.104551
539.14, 0.104552
539.34, 0.104552
539.54, 0.104552
539.74, 0.104553
539.94, 0.104553
